City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Cuautepec,MX,16.7,-99.0,85.19,51,5,6.55,clear sky
268,Dikson,RU,73.5069,80.5464,-1.12,92,100,21.39,overcast clouds
269,Saint-Ambroise,CA,48.5501,-71.3324,5.49,55,83,16.11,broken clouds
270,Tiznit,MA,29.5833,-9.5,66.52,20,82,19.82,broken clouds
271,Cidreira,BR,-30.1811,-50.2056,76.84,57,7,16.49,clear sky
272,Benjamin Constant,BR,-4.3831,-70.0311,91.53,62,40,9.22,scattered clouds
273,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,80.24,77,87,11.25,overcast clouds
274,Kaniama,CD,-7.5667,24.1833,67.53,89,95,0.67,overcast clouds
275,Tahoua,NE,14.8888,5.2692,84.18,5,0,16.11,clear sky
276,Saquena,PE,-4.6667,-73.5167,90.43,42,100,3.96,overcast clouds
277,Padang,ID,-0.9492,100.3543,75.25,92,100,3.49,moderate rain
278,Cuilco,GT,15.4,-91.9667,72.75,46,25,4.88,scattered clouds
279,Baykit,RU,61.67,96.37,-11.31,100,94,1.14,overcast clouds
280,Dumas,US,35.8656,-101.9732,54.03,20,0,4.61,clear sky
281,Bilma,NE,18.6853,12.9164,64.58,15,1,13.65,clear sky
282,Kelme,LT,55.6339,22.9342,30.22,89,100,23.85,overcast clouds
283,Leshukonskoye,RU,64.8989,45.7622,10.49,95,100,6.35,overcast clouds
284,Dickson,US,36.077,-87.3878,50.27,44,0,5.99,clear sky
285,Samastipur,IN,25.85,85.7833,55.33,64,0,3.27,clear sky
286,Tawau,MY,4.2498,117.8871,75.33,94,80,3.0,broken clouds
287,Maracacume,BR,-2.0428,-45.9592,80.58,85,84,4.88,broken clouds
288,Vilyuysk,RU,63.7553,121.6247,-24.14,100,67,4.65,broken clouds
289,Keflavik,IS,64.0049,-22.5624,27.03,50,75,37.98,broken clouds
290,Meulaboh,ID,4.1363,96.1285,78.15,81,84,3.29,broken clouds
291,Verkhnyaya Inta,RU,65.9811,60.3094,2.52,89,100,6.11,overcast clouds
292,Longyearbyen,SJ,78.2186,15.6401,8.44,66,0,18.41,clear sky
