City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
617,Tarakan,ID,78.94,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
619,Le Vauclin,MQ,84.25,scattered clouds,14.5452,-60.8388,Hôtel Cap Macabou
622,Corn Island,NI,80.11,scattered clouds,12.1694,-83.0418,Big Fish Guest House
623,Bintulu,MY,75.61,scattered clouds,3.1667,113.0333,900 Boutique INN
625,Bonthe,SL,82.92,few clouds,7.5264,-12.505,Bonthe Holiday Village
638,Rocha,UY,82.81,clear sky,-34.4833,-54.3333,Hotel Arrarte
639,Cocobeach,GA,84.13,overcast clouds,1.0002,9.5823,Hotel Esperance
645,Koumac,NC,77.86,overcast clouds,-20.5667,164.2833,Le Monitel
647,Bosaso,SO,75.34,scattered clouds,11.2842,49.1816,Red Sea Hotel
649,Sanguem,IN,78.28,clear sky,15.2333,74.1667,Hotel
660,Pedernales,DO,79.68,clear sky,18.0384,-71.744,Hotel Costa Marina
661,Manaure,CO,82.51,clear sky,11.7751,-72.4445,Hotel Palaaima
664,Karratha,AU,83.5,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
666,Mangaratiba,BR,85.33,overcast clouds,-22.9597,-44.0406,Portobello Resort & Safari
669,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
671,Ambilobe,MG,75.69,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
672,Veinticinco De Mayo,AR,86.05,few clouds,-35.4323,-60.1727,Estancia La Rosada
678,Roebourne,AU,86.0,scattered clouds,-20.7833,117.1333,Latitude20 Roebourne Village
679,Niquelandia,BR,77.29,overcast clouds,-14.4739,-48.4597,Hotel Suinã
681,San Policarpo,PH,77.77,few clouds,12.1791,125.5072,Agapita M. Nicart
682,Quatre Cocos,MU,80.71,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
684,Nauta,PE,89.31,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
685,Port Keats,AU,80.85,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
691,Ekpoma,NG,81.93,overcast clouds,6.7421,6.139,Alice Hotels
